q2,q3,s1,s2,s3,q6,q8,q10,q12,p
4,9,7,16,100,3,7,13,10,10
4,1,99,100,100,19,4,8,4,7
1,6,100,11,100,15,11,14,3,2
1,6,1,13,100,17,4,1,10,8
4,15,7,13,100,13,4,13,5,1
2,6,1,100,100,1,11,10,11,4
3,13,100,100,21,1,4,1,10,9
4,9,1,100,100,14,15,8,9,1
1,6,100,16,100,6,4,13,9,17
3,6,100,100,23,17,5,3,12,5
4,3,1,100,100,17,4,13,3,17
2,6,99,100,100,13,1,6,7,9
6,14,1,100,21,1,2,7,10,9
2,6,99,100,100,6,16,15,6,13
4,10,100,100,100,15,6,1,5,9
1,6,99,100,100,6,10,13,7,7
4,6,99,100,100,17,13,8,11,7
4,1,7,13,100,1,3,8,5,7
2,4,2,100,100,19,10,1,10,13
4,9,1,100,100,15,9,1,10,8
4,2,100,13,100,15,14,2,5,9
1,13,99,100,100,6,13,3,12,10
1,3,2,12,100,17,9,1,5,14
1,6,7,13,100,17,10,13,3,7
1,3,6,100,100,11,4,1,5,17
1,2,100,100,21,5,7,12,4,1
3,9,100,100,22,19,5,10,1,3
10,9,100,15,100,17,8,13,4,5
3,16,100,100,22,1,13,10,3,7
1,5,9,100,100,13,9,12,10,9
3,12,100,14,100,1,4,7,5,9
4,11,2,100,23,14,15,1,9,4
4,2,100,11,100,13,13,3,2,9
10,2,100,16,100,19,9,14,5,3
9,6,1,15,100,1,12,8,5,17
1,6,100,13,100,6,9,13,3,2
10,5,100,13,100,15,9,13,6,19
5,9,6,100,100,1,17,13,9,2
2,17,100,16,100,7,2,7,10,8
2,9,1,15,100,19,9,8,11,1
2,18,100,13,100,14,11,4,5,2
1,6,8,100,100,13,1,13,5,17
4,1,7,100,100,19,13,2,7,7
4,6,2,100,100,19,11,1,5,2
1,6,99,100,100,6,13,13,5,2
3,9,100,14,100,17,4,13,3,1
4,1,2,100,100,17,5,3,2,14
2,9,2,100,100,6,10,11,3,13
3,12,100,100,23,1,13,10,9,2
3,19,3,100,100,3,13,3,7,14
9,6,100,13,100,13,4,13,5,7
4,1,1,16,100,19,9,3,6,17
6,5,99,100,100,13,4,14,10,2
4,2,99,100,100,6,3,14,12,2
4,2,2,100,100,1,8,13,3,14
1,6,100,13,100,6,12,5,2,8
4,10,6,100,100,17,13,13,3,1
2,4,100,14,100,6,9,8,5,1
4,9,100,14,100,14,13,5,6,1
2,5,100,11,100,15,12,14,10,7
6,3,7,13,23,15,8,13,3,19
6,2,5,100,100,4,11,7,3,14
1,2,5,100,100,4,13,13,3,14
3,6,4,100,100,13,13,1,5,13
3,12,100,12,100,19,9,13,10,1
1,5,100,11,100,6,10,7,6,9
3,19,99,100,100,11,15,9,9,9
1,15,100,100,23,6,9,13,5,2
1,5,3,100,100,1,4,13,10,9
1,6,1,100,100,17,13,3,6,17
2,5,3,100,100,6,16,7,10,9
4,2,1,100,100,4,9,7,6,17
9,4,100,100,21,15,6,13,3,13
3,12,3,100,100,18,12,2,11,13
2,10,1,16,100,1,9,13,9,17
